C53	mondo.0002974
C53	mondo.0002876
C53	mondo.0002877
C53	mondo.0006143
C53	mondo.0021309
C53	mondo.0004542
C53	mondo.0016280
C53	mondo.0016282
C53	mondo.0016287
C53	mondo.0016289
C53	mondo.0016283
C53	mondo.0016284
C53	mondo.0016285
C53	mondo.0016286
C53	mondo.0016276
C53	mondo.0016277
C53	mondo.0016275
C53	mondo.0008614
H00	mondo.0001642
H00	mondo.0004917
H00	mondo.0003382
H00	mondo.0005800
H00	mondo.0005844
C38	mondo.0002972
C38	mondo.0001322
C38	mondo.0001340
C38	mondo.0006294
C38	mondo.0019494
C38	mondo.0019493
C38	mondo.0005843
F79	mondo.0013628
G71	mondo.0014959
F78	mondo.0013629
L40	mondo.0013626
G60	mondo.0014958
Q87	mondo.0013627
F80	mondo.0014957
C34	mondo.0013631
F79	mondo.0014963
C61	mondo.0012300
F70	mondo.0014962
G71	mondo.0012301
G71	mondo.0000355
G71	mondo.0014900
G71	mondo.0011028
G71	mondo.0011076
G71	mondo.0013550
G71	mondo.0012215
G71	mondo.0013546
G71	mondo.0014800
G71	mondo.0012248
G71	mondo.0014899
G71	mondo.0012289
G71	mondo.0012277
G71	mondo.0012193
G71	mondo.0013472
G71	mondo.0012138
G71	mondo.0012130
G71	mondo.0012127
G71	mondo.0013440
G71	mondo.0012172
G71	mondo.0001347
G71	mondo.0015994
G71	mondo.0013390
G71	mondo.0012034
G71	mondo.0013297
G71	mondo.0013222
G71	mondo.0014547
G71	mondo.0014546
G71	mondo.0014532
G71	mondo.0015737
G71	mondo.0015736
G71	mondo.0015735
G71	mondo.0015705
G71	mondo.0013178
G71	mondo.0013177
G71	mondo.0013161
G71	mondo.0013162
G71	mondo.0013116
G71	mondo.0015765
G71	mondo.0015755
G71	mondo.0015753
G71	mondo.0015739
G71	mondo.0015738
G71	mondo.0014489
G71	mondo.0014474
G71	mondo.0015794
G71	mondo.0015793
G71	mondo.0013061
G71	mondo.0016971
